replicate,p1_mean,p2_mean,h_mean,p1_sd,p2_sd,h_sd,p1_cv,p2_cv,h_cv,linkage,gene_action,p1_af,p2_af,esize,ss,ns
1,0.597,0.413,0.479,0.106622546147327,0.121138308539943,0.121256180149672,0.178597229727515,0.29331309573836,0.253144426199734,unlinked,additive,0.6,0.4,esize0.1,noss,nons
2,0.597,0.404,0.51,0.10992112199766,0.104412838369266,0.11780301787479,0.184122482408141,0.258447619725907,0.230986309558412,unlinked,additive,0.6,0.4,esize0.1,noss,nons
3,0.594,0.409,0.493,0.115899322954125,0.133512209943816,0.132868663095002,0.195116705309974,0.326435721134025,0.269510472809334,unlinked,additive,0.6,0.4,esize0.1,noss,nons
4,0.619,0.42,0.504,0.114682347448622,0.104001569846865,0.0952119011597236,0.185270351290181,0.247622785349678,0.188912502301039,unlinked,additive,0.6,0.4,esize0.1,noss,nons
5,0.629,0.414,0.521,0.119561272823535,0.112503968183984,0.120411708699099,0.190081514822789,0.271748715420251,0.231116523414778,unlinked,additive,0.6,0.4,esize0.1,noss,nons
6,0.628,0.417,0.524,0.10505586463343,0.119356266560859,0.101639619464547,0.167286408651958,0.286226058898944,0.193968739436159,unlinked,additive,0.6,0.4,esize0.1,noss,nons
7,0.596,0.395,0.487,0.103923048454133,0.122578587869504,0.121138308539943,0.17436753096331,0.310325538910136,0.24874396004095,unlinked,additive,0.6,0.4,esize0.1,noss,nons
8,0.595,0.405,0.489,0.107972974698793,0.115285802796921,0.115745145796747,0.181467184367719,0.284656303202275,0.236697639666149,unlinked,additive,0.6,0.4,esize0.1,noss,nons
9,0.618,0.382,0.474,0.105346851797638,0.0946314009238811,0.0882019945167608,0.170464161484851,0.247726180429008,0.186080157208356,unlinked,additive,0.6,0.4,esize0.1,noss,nons
10,0.609,0.394,0.496,0.105796300232367,0.106732547682016,0.0994064014692274,0.173721346851177,0.270894791071107,0.20041613199441,unlinked,additive,0.6,0.4,esize0.1,noss,nons
11,0.583,0.418,0.49,0.123143354324485,0.117699028137406,0.114731274315779,0.211223592323302,0.281576622338291,0.234145457787303,unlinked,additive,0.6,0.4,esize0.1,noss,nons
12,0.583,0.418,0.508,0.115886115806574,0.0946314009238811,0.100691486781178,0.19877549881059,0.226390911301151,0.198211588151925,unlinked,additive,0.6,0.4,esize0.1,noss,nons
13,0.577,0.414,0.496,0.131789101776053,0.105964953775158,0.12406384136683,0.228403989213263,0.255953994625986,0.250128712433124,unlinked,additive,0.6,0.4,esize0.1,noss,nons
14,0.575,0.398,0.493,0.0948952161113316,0.0868731188314901,0.112943005312324,0.16503515845449,0.218274167918317,0.229093317063537,unlinked,additive,0.6,0.4,esize0.1,noss,nons
15,0.605,0.396,0.501,0.0927196784696226,0.104412838369266,0.0854101747989294,0.153255666891938,0.263668783760773,0.170479390816226,unlinked,additive,0.6,0.4,esize0.1,noss,nons
16,0.591,0.396,0.478,0.103356920722439,0.108721700516803,0.10259888211986,0.174884806636952,0.274549748779804,0.214642012803054,unlinked,additive,0.6,0.4,esize0.1,noss,nons
17,0.611,0.41,0.493,0.114860163428654,0.119948968741048,0.125767034388092,0.18798717418765,0.292558460344019,0.25510554642615,unlinked,additive,0.6,0.4,esize0.1,noss,nons
18,0.597,0.401,0.465,0.107099991425141,0.121003457531981,0.103139493415669,0.179396970561375,0.301754258184491,0.221805362184234,unlinked,additive,0.6,0.4,esize0.1,noss,nons
19,0.596,0.412,0.516,0.101438631291867,0.109525879897616,0.091718290967283,0.170199045791723,0.265839514314601,0.177748625905587,unlinked,additive,0.6,0.4,esize0.1,noss,nons
20,0.6,0.396,0.498,0.105945692672795,0.115546615736521,0.12328828005938,0.176576154454659,0.291784383173033,0.247566827428473,unlinked,additive,0.6,0.4,esize0.1,noss,nons
21,0.567,0.402,0.49,0.117199463675028,0.11246768243294,0.112031336723987,0.206700994135852,0.279770354310797,0.22863538106936,unlinked,additive,0.6,0.4,esize0.1,noss,nons
22,0.607,0.406,0.497,0.114290178484239,0.106732547682016,0.10420251083974,0.188286949726917,0.262888048477873,0.209662999677545,unlinked,additive,0.6,0.4,esize0.1,noss,nons
23,0.579,0.397,0.481,0.128209808915078,0.118842203731482,0.112888783991238,0.221433176019133,0.299350639122121,0.234696016613801,unlinked,additive,0.6,0.4,esize0.1,noss,nons
24,0.618,0.386,0.496,0.118992368131193,0.116951062502263,0.132032772678697,0.192544285001931,0.302982027207935,0.266195106207051,unlinked,additive,0.6,0.4,esize0.1,noss,nons
25,0.611,0.421,0.48,0.104143738973339,0.102065405200663,0.0903507902905251,0.170448017959638,0.2424356418068,0.188230813105261,unlinked,additive,0.6,0.4,esize0.1,noss,nons
26,0.603,0.392,0.47,0.107099991425141,0.0976039477287927,0.0880630571852711,0.177611926078178,0.248989662573451,0.187368206777173,unlinked,additive,0.6,0.4,esize0.1,noss,nons
27,0.586,0.418,0.503,0.116951062502263,0.0935468888213994,0.0917016012590259,0.199575191983383,0.22379638474019,0.182309346439415,unlinked,additive,0.6,0.4,esize0.1,noss,nons
28,0.609,0.386,0.5,0.10433951645411,0.120813568639234,0.0963624111659432,0.171329255261265,0.312988519790762,0.192724822331886,unlinked,additive,0.6,0.4,esize0.1,noss,nons
